Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
right_knee_link,0.186499999999999,8.12822031903693E-14,-7.67441665772139E-15,0,0,0,4.476,0.00910120000000002,6.80915680430226E-19,4.06575814681974E-19,0.0572663170000001,6.71321701284499E-20,0.0556251170000001,0,0,0,0,0,0,package://cowa_robot_whole_body/meshes/right_knee_link.STL,1,1,1,1,0,0,0,0,0,0,package://cowa_robot_whole_body/meshes/right_knee_link.STL,,leg2-2,right_leg_knee_frame,right_leg_knee_axis,right_knee_joint,revolute,0.404,0,0,0,0,0,right_leg_pitch_link,0,0,-1,0,0,0,0,,,,,,,,
right_ankle_pitch_link,-8.21426260344538E-14,4.44089209850063E-16,-1.12548859121375E-14,0,0,0,0.785398163397448,0.00114537232162128,-3.43056271343976E-34,-4.70881875214034E-20,0.00114537232162128,4.74338450462405E-20,0.000981747704246812,0,0,0,0,0,0,package://cowa_robot_whole_body/meshes/right_ankle_pitch_link.STL,1,1,1,1,0,0,0,0,0,0,package://cowa_robot_whole_body/meshes/right_ankle_pitch_link.STL,,leg_motor-9,right_ankle_pitch_frame,right_ankle_pitch_axis,right_ankle_pitch_joint,revolute,0.373,0,0,0,0,-1.5707963267949,right_knee_link,0,0,1,0,0,0,0,,,,,,,,
right_ankle_roll_link,0.123734529747145,0.626601797916391,-0.00408607679320293,0,0,0,64.0232016921477,14.5531834553333,0.248671630709574,-6.27056789930883E-05,1.19742423837992,-0.00471811800447366,15.4021544305459,0,0,0,0,0,0,package://cowa_robot_whole_body/meshes/right_ankle_roll_link.STL,1,1,1,1,0,0,0,0,0,0,package://cowa_robot_whole_body/meshes/right_ankle_roll_link.STL,,left_ankle_roll_link2-1,right_ankle_roll_frame,Axis_right_ankle_roll_joint,right_ankle_roll_joint,revolute,0,0,0,0,-1.5707963267949,0,right_ankle_pitch_link,0,1,0,0,0,0,0,,,,,,,,
waist_roll_link,-5.2176391095406E-18,0.0462359125620831,0.0557602377144009,0,0,0,1.45091624562609,0.00347100897105793,1.46893328229152E-19,6.24074325114617E-19,0.00242779563121848,6.87846878940622E-06,0.0035325148133869,0,0,0,0,0,0,package://cowa_robot_whole_body/meshes/waist_roll_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://cowa_robot_whole_body/meshes/waist_roll_link.STL,,body_waist_part1-1,body_roll_frame,body_roll_axis,body_roll_joint,revolute,-0.055,0,-0.140000000000201,1.5707963267949,0,1.5707963267949,base_link,0,0,-1,0,0,0,0,,,,,,,,
body_link,0,7.05447731665485E-18,0.145633802816901,0,0,0,10.792,0.122300931455399,-6.27548739887208E-18,6.01274092135447E-19,0.105155931455399,4.96566981813816E-18,0.0676704666666667,0,0,0,0,0,0,package://cowa_robot_whole_body/meshes/body_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://cowa_robot_whole_body/meshes/body_link.STL,,body_main-1,body_yaw_frame,body_yaw_axis,body_yaw_joint,revolute,0,0.140000000000201,0.055,1.5707963267949,-1.5707963267949,0,waist_roll_link,0,0,1,0,0,0,0,,,,,,,,
left_shoulder_pitch_link,0,-1.11022302462516E-16,-0.05,0,0,0,0.785398163397448,0.00114537232162128,-3.5108097944559E-35,2.49518848914811E-20,0.00114537232162128,-5.19620206801091E-36,0.000981747704246811,0,0,0,0,0,0,package://cowa_robot_whole_body/meshes/left_shoulder_pitch_link.STL,1,1,1,1,0,0,0,0,0,0,package://cowa_robot_whole_body/meshes/left_shoulder_pitch_link.STL,,arm_motor_100-4,left_shoulder_pitch_frame,left_shoulder_pitch_axis,left_shoulder_pitch_joint,revolute,0.0101307583045277,0.14,0.33,-1.5707963267949,0,0,body_link,0,0,-1,0,0,0,0,,,,,,,,
left_shoulder_roll_link,-2.77555756156289E-17,-0.05,0,0,0,0,1.5707963267949,0.00229074464324256,1.91550836508744E-20,-3.97380851010098E-20,0.00212712002586809,8.69177194312185E-20,0.00212712002586809,0,0,0,0,0,0,package://cowa_robot_whole_body/meshes/left_shoulder_roll_link.STL,1,1,1,1,0,0,0,0,0,0,package://cowa_robot_whole_body/meshes/left_shoulder_roll_link.STL,,arm_motor_100-5;arm_motor_100-6,left_shoulder_roll_frame,left_shoulder_roll_axis,left_shoulder_roll_joint,revolute,0,0,0.05,0,-1.5707963267949,0,left_shoulder_pitch_link,0,0,-1,0,0,0,0,,,,,,,,
left_arm_yaw_link,0,2.77555756156289E-17,0.1,0,0,0,1.5707963267949,0.0062177354602298,0,9.03501810404587E-20,0.0062177354602298,7.37993009018754E-19,0.00196349540849362,0,0,0,0,0,0,package://cowa_robot_whole_body/meshes/left_arm_yaw_link.STL,1,1,1,1,0,0,0,0,0,0,package://cowa_robot_whole_body/meshes/left_arm_yaw_link.STL,,arm_motor_200-2,left_arm_yaw_frame,left_arm_yaw_axis,left_arm_yaw_joint,revolute,0,-0.15,0,1.5707963267949,-1.5707963267949,0,left_shoulder_roll_link,0,0,-1,0,0,0,0,,,,,,,,
left_arm_pitch_link,1.66533453693773E-16,-0.09,-0.38,0,0,0,0.226194671058465,0.000633345078963702,5.0821976835258E-21,3.49401090742399E-21,4.5238934211693E-05,5.08219768352581E-21,0.000633345078963702,0,0,0,0,0,0,package://cowa_robot_whole_body/meshes/left_arm_pitch_link.STL,1,1,1,1,0,0,0,0,0,0,package://cowa_robot_whole_body/meshes/left_arm_pitch_link.STL,,arm_raw-4,right_arm_pitch_frame,right_arm_pitch_axis,left_arm_pitch_joint,revolute,0,0.38,0.2,-1.5707963267949,0,0,left_arm_yaw_link,0,0,-1,0,0,0,0,,,,,,,,
right_shoulder_pitch_link,1.38777878078145E-17,1.11022302462516E-16,-0.05,0,0,0,0.785398163397449,0.00114537232162128,3.5108097944559E-35,2.49518848914811E-20,0.00114537232162128,5.19620206801091E-36,0.000981747704246811,0,0,0,0,0,0,package://cowa_robot_whole_body/meshes/right_shoulder_pitch_link.STL,1,1,1,1,0,0,0,0,0,0,package://cowa_robot_whole_body/meshes/right_shoulder_pitch_link.STL,,arm_motor_100-1,right_shoulder_pitch_frame,right_shoulder_pitch_axis,right_shoulder_pitch_joint,revolute,0.0101307583045277,-0.14,0.33,1.5707963267949,0,0,body_link,0,0,-1,0,0,0,0,,,,,,,,
right_shoulder_roll_link,-2.77555756156289E-17,-0.0499999999999998,0,0,0,0,1.5707963267949,0.00229074464324256,1.91550836508745E-20,3.97380851010098E-20,0.00212712002586809,-8.69177194312185E-20,0.00212712002586809,0,0,0,0,0,0,package://cowa_robot_whole_body/meshes/right_shoulder_roll_link.STL,1,1,1,1,0,0,0,0,0,0,package://cowa_robot_whole_body/meshes/right_shoulder_roll_link.STL,,arm_motor_100-2;arm_motor_100-3,right_shoulder_roll_frame,right_shoulder_roll_axis,right_shoulder_roll_link,revolute,0,0,0.05,3.14159265358979,-1.5707963267949,0,right_shoulder_pitch_link,0,0,1,0,0,0,0,,,,,,,,
right_arm_yaw_link,2.77555756156289E-17,0,-0.1,0,0,0,1.5707963267949,0.0062177354602298,-1.81809792927181E-34,-7.37993009018753E-19,0.0062177354602298,-1.80700362080918E-19,0.00196349540849362,0,0,0,0,0,0,package://cowa_robot_whole_body/meshes/right_arm_yaw_link.STL,1,1,1,1,0,0,0,0,0,0,package://cowa_robot_whole_body/meshes/right_arm_yaw_link.STL,,arm_motor_200-1,right_arm_yaw_frame,right_arm_yaw_axis,right_arm_yaw_link,revolute,0,-0.15,0,1.5707963267949,0,3.14159265358979,right_shoulder_roll_link,0,0,1,0,0,0,0,,,,,,,,
right_arm_pitch_link,5.55111512312578E-17,-0.0899999999999999,-2.77555756156289E-17,0,0,0,0.226194671058465,0.000633345078963702,5.08219768352581E-21,-3.49401090742399E-21,4.5238934211693E-05,2.70364176257709E-36,0.000633345078963702,0,0,0,0,0,0,package://cowa_robot_whole_body/meshes/right_arm_pitch_link.STL,1,1,1,1,0,0,0,0,0,0,package://cowa_robot_whole_body/meshes/right_arm_pitch_link.STL,,arm_raw-3,right_arm_pitch_frame,right_arm_pitch_axis,right_arm_pitch_joint,revolute,0,0,-0.2,1.5707963267949,0,-1.5707963267949,right_arm_yaw_link,0,0,-1,0,0,0,0,,,,,,,,
